# Generated on 20231113_061843
# START DATA TYPES
# int64 : UID.spectrum
# object : spectra.md5
# END DATA TYPES
UID.spectrum,spectra.md5
100000,1f49721068f9325db10f81c1ce74df67
100001,fc4a9a9b80e8d471bd76b66584b382dc
100002,2c60ecbb7b7da265a2bf0bbcbd4efb80
100003,06668863c363db386e1fe679444d2054
100004,206b7399f32e1cdb7ffa780df667c313
100005,b7a5a9f86b3ea6db484e4f363091a77f
100006,8b2622dee6329be3d0e6701951017189
100014,5e7855c926ef5cf6f81c0581d3434cdf
100015,9ffaed1ae895eed2785fdfeb562a6056
100016,acaf1a61014279a5e48383f82047e65c
100017,ea3c895c28eb9fec9059617bb65150cd
100018,3fd035267912648db021dd4846a97180
100019,c4544cbf27ae7f64d14a6879066c2ef0
100020,8589a17da231a0fe25e291eabe185249
100021,7e393505ed8d72feb7c74096fc34c3f1
100022,af738909fb7827ef13de8a307cc4fb23
100023,de68c487d5958511d15355306bea47a3
100024,db337d20af36fdc0452da1f1c4da0afd
100025,43d7cec33c188835c4f272dfd3606070
100026,f3e92dbe7e01cf073d4f9ad4f6bc6518
100027,624b79cebe40cd66a9e8f37298356382
100028,5dadea0d788fa1c637434ae6fa19c521
100029,a7ce61fc375c76cb50ad15691cfdcbd2
100030,4ffda467d53a0da11f6b8aafc2b65f9a
100031,f1efb2ad09ae52274be68792bbf9e423
100032,53035c03aa29686564c71167a96f8a33
100033,b5960c251f3f2f80cf6321462abe4bc5
100034,5b4834ad9f385791c59de60ced56656f
100035,b26f78dc5ff5d5122acd1b75aca4237c
100036,715e71a12d97e83dfc0f820a9cdf6702
100037,62bd8e0f63918fa7782af5ec167a15b8
100038,27e22e624352faa4a4acff844f1de226
100039,3cfba6545e8bd23b71d668cbed6a8eba
100040,11aa60d057cc17a45cee66c9e41c53f9
100041,07309b16e4dbaf82da7aa36c821b9347
100042,9252939658b63e7480b42a32dadfee2c
100043,cbba66ba14a5ba0f2d3827312f16ec47
100044,fdfaab3c8891e71ab14dcf8f5d7653ee
100045,e9c456d3d06e04c99dfbd2893eb36e65
